Ax,Ay,Az,Gx,Gy,Gz
-6616,13880,-1380,915,-68,-49
-6624,13924,-1496,909,-41,-136
-6680,13896,-1408,917,-46,-148
-6636,13996,-1508,913,-35,-111
-6668,13896,-1616,902,-47,-47
-6716,13944,-1496,916,-43,-40
-6616,13972,-1412,879,-57,-5
-6584,13884,-1536,918,-47,-25
-6920,14192,-1584,892,-10,-164
-7792,15016,-1524,1022,-80,-68
-6928,14244,-1484,773,-112,261
-6396,13764,-1416,939,-72,112
-6636,14020,-1596,892,-43,-154
-6520,13836,-1524,946,4,-242
-6776,13916,-1552,926,8,-333
-6916,14008,-1568,891,-64,-54
-6592,13936,-1460,866,-113,216
-7439,14457,-1484,882,-50,-215
-7428,14181,-1544,859,-31,-72
-6953,13921,-1383,842,-60,-204
-7659,13911,-1385,828,-73,-30
-7302,14506,-1541,805,-5,-161
-6774,14464,-1433,883,-35,-131
-6671,14053,-1498,862,-68,-213
-6856,14775,-1454,800,-84,-66
-6908,14577,-1445,996,-54,-228
-6411,14121,-1446,788,-45,-290
-6711,14938,-1461,1009,-57,-199
-7142,14179,-1385,859,-1,-246
-7156,14056,-1409,776,-52,-74
-7720,14760,-1451,902,0,-228
-6913,14999,-1397,816,-72,-85
-6899,14273,-1548,971,-45,-46
-7785,14042,-1438,910,-65,-12
-6592,13923,-1487,890,-88,-35
-6485,14768,-1560,962,-7,-253
-6879,14971,-1536,894,-100,-105
-7468,14832,-1559,806,-87,-201
-7471,14035,-1478,851,-24,-213
-6955,14582,-1499,880,-9,-111
-7332,14711,-1565,983,-10,-224
-6602,14700,-1587,1020,-27,-154
-7532,14382,-1489,910,-99,-49
-7236,14873,-1594,910,-96,-103
-7369,14287,-1398,943,-7,-140
-6445,14678,-1469,796,-63,-167
-6504,14970,-1435,983,-80,-54
-7351,14289,-1564,907,-18,-259
-7084,14991,-1444,866,-95,-121
-7288,14358,-1414,783,-57,-284
-6417,14304,-1405,955,-7,-74
-6981,14882,-1491,950,-58,-171
-6773,14699,-1474,884,-15,-77
-6807,14873,-1438,1021,-42,-237
-6685,14423,-1544,850,-6,-288
-7512,14306,-1380,1018,2,-74
-6593,14337,-1526,814,-100,-101
-7160,14364,-1438,1007,-94,-196
-6376,13902,-1428,788,-97,-148
-7730,14049,-1554,978,-1,-293
-7481,13933,-1520,794,-50,-225
-6443,14666,-1530,835,-4,-38
-7615,14991,-1393,988,-25,-11
-7231,14105,-1485,1020,-95,-144
-7416,13954,-1593,879,-79,-271
-6699,14796,-1444,921,-40,-234
-7698,14242,-1424,949,-8,-9
-7002,14836,-1397,876,-79,-68
-7564,14098,-1417,783,-17,-238
-7757,14949,-1438,1005,-52,-219
-6988,14646,-1571,782,-28,-257
-7056,14154,-1400,972,-12,-100
-6975,13992,-1450,852,-73,-61
-6715,13903,-1384,887,-96,-277
-7665,14054,-1534,929,-23,-284
-7596,14841,-1600,887,-83,-121
-6465,14256,-1454,947,-49,-292
-7633,14026,-1447,851,-35,-4
-6599,14224,-1548,1015,-26,-171
-6676,14176,-1489,838,-11,-237
-7121,14695,-1461,954,-47,-146
-6873,14058,-1481,954,-15,-178
-7440,14524,-1584,927,-42,-114
-7259,14250,-1594,854,-90,-198
-7591,14517,-1542,866,-9,-38
-7192,14801,-1495,903,-67,-77
-7319,14056,-1547,930,-90,-120
-7546,14927,-1462,956,-65,-234
-7088,13918,-1384,829,-38,-243
-7282,14202,-1431,994,5,-222
-7683,14756,-1491,810,-76,-163
-7165,14331,-1559,861,-10,-165
-7606,14988,-1405,897,-17,-207
